title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
house of 1000 corpses,Horror,Rob Zombie,Sid Haig,Matthew McGrory,Erin Daniels,Rob Zombie Sid Haig Matthew McGrory Erin Daniels Horror
alien zone,Horror,Sharron Miller,Bernard Fox,Elizabeth MacRae,Charles Aidman,Sharron Miller Bernard Fox Elizabeth MacRae Charles Aidman Horror
a serious man,Comedy Drama,Ethan Coen,Michael Stuhlbarg,Fred Melamed,Peter Breitmayer,Ethan Coen Michael Stuhlbarg Fred Melamed Peter Breitmayer Comedy Drama
get low,Drama Mystery,Aaron Schneider,Bill Murray,Robert Duvall,Bill Cobbs,Aaron Schneider Bill Murray Robert Duvall Bill Cobbs Drama Mystery
warlock,Action Fantasy Horror Thriller,Steve Miner,Julian Sands,Richard E. Grant,Lori Singer,Steve Miner Julian Sands Richard E. Grant Lori Singer Action Fantasy Horror Thriller
beyond the lights,Drama Music,Gina Prince-Bythewood,Minnie Driver,Nate Parker,Darryl Stephens,Gina Prince-Bythewood Minnie Driver Nate Parker Darryl Stephens Drama Music
a single man,Drama Romance,Tom Ford,Colin Firth,Teddy Sears,Keri Lynn Pratt,Tom Ford Colin Firth Teddy Sears Keri Lynn Pratt Drama Romance
the last temptation of christ,Drama,Martin Scorsese,Irvin Kershner,Barbara Hershey,Roberts Blossom,Martin Scorsese Irvin Kershner Barbara Hershey Roberts Blossom Drama
outside providence,Comedy Drama Romance,Michael Corrente,Jonathan Brandis,George Wendt,Shawn Hatosy,Michael Corrente Jonathan Brandis George Wendt Shawn Hatosy Comedy Drama Romance
bride & prejudice,Comedy Drama Musical Romance,Gurinder Chadha,Indira Varma,Martin Henderson,Anupam Kher,Gurinder Chadha Indira Varma Martin Henderson Anupam Kher Comedy Drama Musical Romance
rabbit-proof fence,Adventure Biography Drama History,Phillip Noyce,Roy Billing,David Gulpilil,Deborah Mailman,Phillip Noyce Roy Billing David Gulpilil Deborah Mailman Adventure Biography Drama History
who's your caddy?,Comedy Sport,Don Michael Paul,Jeffrey Jones,Faizon Love,Lil' Wayne,Don Michael Paul Jeffrey Jones Faizon Love Lil' Wayne Comedy Sport
split second,Action Crime Horror Sci-Fi Thriller,Tony Maylam,Michael J. Pollard,Alun Armstrong,Alastair Duncan,Tony Maylam Michael J. Pollard Alun Armstrong Alastair Duncan Action Crime Horror Sci-Fi Thriller
nikita            ,Action Crime Drama Thriller,Unknown,Melinda Clarke,Xander Berkeley,Aaron Stanford,Unknown Melinda Clarke Xander Berkeley Aaron Stanford Action Crime Drama Thriller
the other side of heaven,Adventure Biography Drama,Mitch Davis,Anne Hathaway,Nathaniel Lees,Miriama Smith,Mitch Davis Anne Hathaway Nathaniel Lees Miriama Smith Adventure Biography Drama
dark angel            ,Action Drama Mystery Sci-Fi,Unknown,Jensen Ackles,Ashley Scott,John Savage,Unknown Jensen Ackles Ashley Scott John Savage Action Drama Mystery Sci-Fi
veer-zaara,Drama Musical Romance,Yash Chopra,Shah Rukh Khan,Preity Zinta,Anupam Kher,Yash Chopra Shah Rukh Khan Preity Zinta Anupam Kher Drama Musical Romance
redbelt,Drama Sport,David Mamet,Alice Braga,Randy Couture,Jose Pablo Cantillo,David Mamet Alice Braga Randy Couture Jose Pablo Cantillo Drama Sport
cyrus,Comedy Drama Romance,Jay Duplass,Matt Walsh,Tim Guinee,Katie Aselton,Jay Duplass Matt Walsh Tim Guinee Katie Aselton Comedy Drama Romance
a dog of flanders,Drama Family,Kevin Brodie,Bruce McGill,Cheryl Ladd,Jack Warden,Kevin Brodie Bruce McGill Cheryl Ladd Jack Warden Drama Family
auto focus,Biography Crime Drama,Paul Schrader,Ed Begley Jr.,Michael McKean,Kurt Fuller,Paul Schrader Ed Begley Jr. Michael McKean Kurt Fuller Biography Crime Drama
factory girl,Biography Drama,George Hickenlooper,Hayden Christensen,Jimmy Fallon,Beth Grant,George Hickenlooper Hayden Christensen Jimmy Fallon Beth Grant Biography Drama
we need to talk about kevin,Drama Thriller,Lynne Ramsay,Ezra Miller,Siobhan Fallon Hogan,Ashley Gerasimovich,Lynne Ramsay Ezra Miller Siobhan Fallon Hogan Ashley Gerasimovich Drama Thriller
the christmas candle,Drama Family,John Stephenson,Samantha Barks,Hans Matheson,Lesley Manville,John Stephenson Samantha Barks Hans Matheson Lesley Manville Drama Family
the mighty macs,Drama Sport,Tim Chambers,Ellen Burstyn,Marley Shelton,Jennifer Butler,Tim Chambers Ellen Burstyn Marley Shelton Jennifer Butler Drama Sport
losin' it,Comedy Drama Family,Curtis Hanson,Tom Cruise,Shelley Long,Rick Rossovich,Curtis Hanson Tom Cruise Shelley Long Rick Rossovich Comedy Drama Family
mother and child,Drama Romance,Rodrigo García,Naomi Watts,Jimmy Smits,Carla Gallo,Rodrigo García Naomi Watts Jimmy Smits Carla Gallo Drama Romance
march or die,Adventure Drama Romance War,Dick Richards,Catherine Deneuve,Terence Hill,Jack O'Halloran,Dick Richards Catherine Deneuve Terence Hill Jack O'Halloran Adventure Drama Romance War
